no_soal,soal,keterangan,pil_a,pil_b,pil_c,pil_d,pil_e,tingkat,jawaban,skor,id_semester
6,"<p>Rista membeli 3 lembar kertas asturo dan 2 lembar kertas karton seharga Rp. 12.000,00. Di tempat yang sama, Andra membeli 2 lembar kertas asturo dan selembar kertas karton seharga Rp. 7.500,00. Jika Yeni membeli selembar kertas asturo dan selembar kertas karton di tempat tersebut dengan membayar Rp. 5.000,00. Uang kembalian yang diterima Yeni sebesar....</p> ",0,"Rp 1.500,00","Rp 1.200,00","Rp 1.000,00","Rp 700,00","Rp 500,00",mudah,e,2,9
8,"<p>Toko sepeda milik Pak Bambang hanya dapat menampung 36 sepeda anak. Sepeda tersebut terdiri atas merek A dan merek B. Harga pembelian sepeda merek A adalah Rp 400.000,00. Harga pembelian sepeda merek B adalah Rp 300.000,00. Modal yang dimiliki Pak Bambang sebesar Rp 12.000.000,00. Keuntungan dari setiap penjualan sepeda merek A sebesar Rp 120.000,00. Keuntungan dari penjualan setiap sepeda merek B sebesar Rp 100.000,00. Agar keuntungan yang diperoleh maksimum, Pak Bambang membeli sepeda sebanyak....</p> ",0,Hanya 36 unit sepeda merek A,Hanya 36 unit sepeda merek B,18 unit sepeda merek A dan 18 sepeda merek B,12 unit sepeda merek A dan 24 sepeda merek B,24 unit sepeda merek A dan 12 sepeda merek B,mudah,d,2,9
12,"<p>Jumlah suku ke-3, ke-5, ke-9 sebuah barisan aritmetika adalah 104. Nilai suku ke-6 barisan tersebut adalah&hellip;.</p> ",0,26,28,30,32,36,sedang,a,2,9
14,"<p>Sebuah gedung pertunjukkan digunakan untuk menampilkan sendra tari. Harga tiket masuk untuk menonton sendra tari sebesar Rp 100.000,00. Di dalam gedung tersebut terdapat 10 baris kursi. Banyak kursi pada baris paling belakang sebanyak 100 buah. Banyak kursi pada baris di depannya sebanyak 95 buah, begitu seterusnya. Jika pada malam itu semua kursi terisi penonton, hasil penjualan tiket sebesar....</p> ",0," Rp. 62.000,00"," Rp. 65.500,00"," Rp. 75.000,00"," Rp. 75.500,00"," Rp. 150.000,00",mudah,a,2,9
,,0,0,0,0,0,0,,,2,9
,,0,0,0,0,0,0,,,2,9
,,0,0,0,0,0,0,,,2,9
,,0,0,0,0,0,0,,,2,9
,,0,0,0,0,0,0,,,2,9
,,0,0,0,0,0,0,,,2,9
,,0,0,0,0,0,0,,,2,9
,,0,0,0,0,0,0,,,2,9
